category,recipeName,pageNumber,season,activeTime,totalTime,difficulty,matrixDifficulty,freeFrom,servings,stephanie,rosie,specialEquipment,flourCups,alternativeFlour,eggsWhole,eggYolks,eggWhites,containsNuts,onlyPantry,isYeasted,requiresAdditionalRecipes,Amateur creation v Claire creation?,What/who would you make this for?
Pies and Tarts,Peach Melba Tart,121,Summer,1 hour,1 hour 30 minutes,4,,,8,Yes,No,Dutch oven or straight sided skillet,0,No,1,0,0,No,No,No,1/2 Rough Puff Pastry (page 355); Pastry Cream (page 321),,
Bars and Cookies,Marcona Almonds,127,All,25 minutes,40 minutes,1,,Gluten-Free; Dairy-Free,24,Yes,No,Food processor,0,No,2,0,0,Yes,No,No,No,,
Bars and Cookies,Salted Halvah Blondies,128,All,20 minutes,45 minutes,1,,,16,Yes,No,8x8 inch metal pan,1 1/4,No,1,2,0,No,No,No,No,,
Bars and Cookies,Brown Butter and Sage Sables,131,All,1 hour,3 hours 20 minuts (inc 2 hours for chillin dough),2,,,36,Yes,No,Stand or hand mixer,1 3/4,No,0,2,0,No,No,No,No,,
Bars and Cookies,Chocolate Chip Cookies,133,All,35 minutes,1 hour 15 minutes (plus 12 to 48 hours for chillin the dough),2,,,18,Yes,Yes,None,2,No,2,0,0,No,Yes,No,No,,
Bars and Cookies,Cinnamon Sugar Palmiers,136,All,25 minutes,1 hour,2,,,16,Yes,Yes,None,0,No,1,0,0,No,Yes,No,1/2 Rough Puff Pastry (pg 355) or 1 Flaky All-Butter Pie Dough (page 333),,
Bars and Cookies,"Malted ""Forever"" Brownies",139,All,35 minutes,1 hour plus 1 hour to chill,2,,,16,Yes,Yes,8x8 inch metal pan,3/4,No,1,2,0,No,Yes,No,No,,
Bars and Cookies,Pistachio Pinwheels,141,All,1 hour,2 hours 35 minutes,2,,,32,Yes,Yes,Food Processor,1,Yes,0,2,0,Yes,Yes,No,No,,
Bars and Cookies,Chewy Molasses Spice Cookies,144,All,45 minutes,2 hours 10 minutes (inc 1 hour for chilling),2,,,42,Yes,No,Stand or hand mixer,3 3/4,No,2,0,0,No,Yes,No,No,,
Bars and Cookies,Aunt Rose's Mondel Bread,147,All,1 hour 30 minutes,5 hours 30 minutes (inc 4 hours for chilling),2,,,36,Yes,No,Stand mixer,4,No,3,0,0,Yes,Yes,No,No,,
Bars and Cookies,Coconut Thumbprints,149,All,1 hour,2 hours,3,,,50,Yes,Yes,Stand mixer,1 1/2,No,0,2,0,Yes,No,No,No,,
Bars and Cookies,Oat and Pecan Brittle Cookies,151,All,1 hour 45 minutes,2 hours 30 minutes (plus 12 to 48 hours for chilling dough),3,,,18,Yes,Yes,"Stand mixer, food processor",1 1/3,No,2,0,0,Yes,Yes,No,No,,
Bars and Cookies,Minty Lime Bars,155,All,50 minutes,1 hour 45 minutes plus 1 hour for chilling,3,,,16,Yes,Yes,"8x8 inch metal pan, instant read thermometer",1,No,1,5,0,No,No,No,No,,
Bars and Cookies,Thrice-Baked Rye Cookies,157,All,1 hour 30 minutes,2 hours 45 minutes (inc 1 hour for chilling),3,,,5 dozen,Yes,No,None,1,Yes,1,2,0,No,Yes,No,No,,
Bars and Cookies,Earl Grey and Apricot Hamantaschen,159,All,1 hour 30 minutes,4 hours and 30 minutes (inc 2 hours for chilling),3,,,20,Yes,No,Food processor; 3 1/2 inch round cutter,2,No,1,1,0,No,No,No,No,,
Bars and Cookies,Peanut Butter and Concord Grape Sandwich Cookies,163,Fall (if making jam) / All (if using storebought),30 minutes for cookies and 45 minutes for jam,3 hours and 45 minutes (includes 2 hours for chilling and making jam),3,,,30,Yes,No,Stand mixer; 3/4 inch cutter; instant read thermometer,2 1/2,No,2,0,0,Yes,No,No,Concord Grape Jam (recipe follows),,
Layer Cakes and Fancy Desserts,Classic Birthday Cake,169,All,35 minutes,2 hours 15 minutes,2,,,10,Yes,Yes,Stand mixer; three 8 inch cake pans,0,Yes,2,5,0,No,No,No,"Classic Cream Cheese Frosting, Chocolate Variation (page 324)",,
Layer Cakes and Fancy Desserts,Confetti Cake,171,All,40 minutes,2 hours 30 minutes,2,,,16,Yes,Yes,Stand mixer; three 9 inch cake pans,0,Yes,3,0,6,No,No,No,Classic Cream Cheese Frosting (page 324),,
Layer Cakes and Fancy Desserts,Carrot and Pecan Cake,175,All,45 minutes,2 hours,2,,,10,Yes,Yes,Stand mixer; three 8 inch cake pans,2 1/2,No,4,0,0,Yes,No,No,"Classic Cream Cheese Frosting, Brown Butter Variation (page 324)",,
Layer Cakes and Fancy Desserts,Strawberry Cornmeal Layer Cake,177,Spring/Summer,1 hour,2 hours 45 minutes,3,,,8,Yes,No,9-inch springform pan or 9-inch cake pan with 2-inch sides; stand mixer,1 1/2,Yes,2,0,0,No,No,No,No,,
Layer Cakes and Fancy Desserts,Chocolate Buttermilk Cake,181,All,30 minutes,1 hour,3,,,10,Yes,Yes,Stand mixer; three 8 inch cake pans; candy or instant read thermometer,2 1/3,No,3,0,0,No,No,No,"Silkiest Chocolate Buttercream (page 359) or Classic Cream Cheese Frosting, Chocolate Variation (page 324)",,
Layer Cakes and Fancy Desserts,Chocolate-Hazelnut Galette des Rois,183,All,1 hour,1 hour 45 minutes,3,,,8 to 10,No,Yes,Food processor,0,No,1,0,0,Yes,No,No,"Rough Puff Pastry (page 355); Frangipane, Chocolate-Hazelnut Variation (page 329)",,
Layer Cakes and Fancy Desserts,Strawberry-Rhubarb Pavlovas with Rose,187,Spring/Summer,1 hour 15 minutes,4 hours,3,,Gluten-Free,8,No,No,Stand mixer,0,No,0,0,6,No,No,No,No,,
Layer Cakes and Fancy Desserts,Tarte Tropezienne,189,All,45 minutes,2 hours 15 minutes,3,,,8,No,Yes,9-inch cake pan; stand mixer,0,No,1,0,0,No,No,Yes,1/2 Brioche Dough (page 352); 1/2 Honey Almond Syrup (page 320); Pastry Cream (page 321),,
Layer Cakes and Fancy Desserts,Fruitcake,193,Fall,3 hours 15 minutes,2 months,4,,,40,No,No,Two 9-inch cake pans with 2-inch sides; stand mixer; two 9-inch cardboard cake rounds; pastry bag,3 1/4,Yes,7,0,5,Yes,No,No,No,,
Layer Cakes and Fancy Desserts,Gateau Basque,197,All (if using frozen cherries) / Summer (if using fresh cherries),1 hour 20 minutes,4 hours 20 minutes,4,,,8,No,No,9-inch removable bottom tart pan; stand or hand mixer,2,No,2,1,0,No,No,No,Pastry Cream (page 321),,
Layer Cakes and Fancy Desserts,All Coconut Cake,201,All,2 hours 30 minutes,4 hours,4,,,10,No,No,Stand mixer; three 8-inch cake pans; food processor,0,Yes,4,0,0,No,No,No,"Pastry Cream, Coconut Variation (page 322); 1/2 Classic Cream Cheese Frosting (page 324)",,
Layer Cakes and Fancy Desserts,Black Sesame Paris-Brest,203,All,1 hour 20 minutes,3 hours,4,,,8,No,No,Stand mixer; three pastry bags,0,No,1,0,0,No,No,No,"Pate a Choux (page 346); Pastry Cream, Black Sesame Variation (page 322)",,
Layer Cakes and Fancy Desserts,Preserved Lemon Meringue Cake,206,All,1 hour 30 minutes,3 hours 15 minutes,4,,,10,No,No,Stand mixer; standard or handheld blender; three 8-inch cake pans; instant-read thermometer; kitchen torch,0,Yes,5,0,3,No,No,No,Lemon Curd (page 330),,
Layer Cakes and Fancy Desserts,Croquembouche,211,All,3 hours 15 minutes,4 hours,5,,,14,No,Yes,Pastry bag fitted with 1/4-inch round tip; 1-inch round cutter,1,No,0,0,0,No,No,No,"Pate a Choux (page 346); Pastry Cream, Chocolate Variation (page 322)",,
Breakfast and Brunch,Seedy Maple Breakfast Muffins,216,All,25 minutes,55 minutes,1,,Vegan,12,No,Yes,12-cup muffin tin; muffin liners,1,Yes,0,0,0,No,No,No,No,,
Breakfast and Brunch,Coffee Coffee Cake,219,All,50 minutes,1 hour 30 minutes,2,,,15 to 20,Yes,Yes,13x9-inch metal pan; stand mixer,4 3/4,No,4,0,0,No,No,No,No,,
Breakfast and Brunch,Buckwheat Blueberry Skillet Pancake,221,Summer (if using fresh blueberries) /  All (if using frozen),30 minutes,1 hour 45 minutes,2,,,4,Yes,No,10-inch ovenproof skillet; standard or handheld blender,1/2,Yes,3,0,0,No,No,No,No,,
Breakfast and Brunch,Brown Butter Corn Muffins,224,Summer (if using fresh corn) /  All (if using frozen),40 minutes,55 minutes,2,,,12,No,No,12-cup muffin tin,1,Yes,2,0,0,No,No,No,No,,
Breakfast and Brunch,Classic English Muffins,227,All,1 hour 30 minutes,1 hour 30 minutes plus 8 hours for chilling the dough,2,,,8,No,Yes,Instant-read thermometer; stand mixer; 3 1/2-inch round cutter; griddle or large skillet,0,Yes,0,0,0,No,No,Yes,No,,
Breakfast and Brunch,Brioche Twists with Coriander Sugar,229,All,35 minutes,2 hours,3,,,8,Yes,No,Stand mixer,0,No,0,0,0,No,Yes,No,1/2 Brioche Dough (page 352),,
Breakfast and Brunch,Strawberry-Almond Bostock,232,Spring/Summer,35 minutes,1 hour 15 minutes,3,,,8,Yes,No,None,0,No,0,0,0,Yes,No,No,baked Brioche (page 352); 1/2 Honey Almond Syrup; Frangipane (page 329),,
Breakfast and Brunch,Babkallah,235,All,1 hour,5 hours,3,,,12,No,Yes,Instant-read thermometer,3,No,1,4,0,No,No,Yes,No,,
Breakfast and Brunch,Speculoos Babka,239,All,1 hour,2 hours 45 minutes,3,,,2 babkas,Yes,Yes,"Stand mixer, two 4 1/2 x 8 1/2 inch loaf pans, instant-read thermometer",1 1/3,No,1,0,0,No,No,Yes,Sweet Yeast Dough (page 344),,
Breakfast and Brunch,St. Louis Gooey Butter Cake,243,All,1 hour,3 hours 40 minutes plus 8 hours for chilling,3,,,12,No,No,"Instant-read thermometer, stand mixer, 13x9 inch pan, pastry bag",3 1/2,No,2,3,0,No,No,Yes,No,,
Breakfast and Brunch,Walnut-Maple Buns,245,All,1 hour,2 hours 15 minutes,3,,,15 buns,No,Yes,"13x9 inch pan, stand mixer",0,No,0,0,0,Yes,No,Yes,Sweet Yeast Dough (page 344),,
Breakfast and Brunch,A Little Bit of Everything Bagels,249,All,1 hour 30 minutes,3 hours plus 8 hours for chilling,4,,,9 bagels,No,Yes,"Instant-read thermometer, stand mixer, Dutch oven",0,Yes,0,0,0,No,No,Yes,No,,
Breakfast and Brunch,Spelt Croissants,253,All,2 hours,8 hours 15 minutes plus 8 hours for chilling,5,,,8 croissants,No,No,"Instant-read thermometer, spray bottle with water",0,Yes,0,1,0,No,No,Yes,No,,
Breakfast and Brunch,Kouign-amann,257,All,2 hours,7 hours,5,,,24,Yes,Yes,Instant-read thermometer,3 1/4,No,0,0,0,No,No,Yes,No,,
Breakfast and Brunch,Cherry Cream Cheese Danishes,263,Summer (if using fresh cherries) / All (if using frozen),45 minutes,2 hours 15 minutes,5,,,24,Yes,No,None,0,No,0,1,0,No,No,Yes,Kouign-amann dough (page 247),,
Breads and Savory Baking,Loaded Corn Bread,268,Summer (if using fresh corn) /  All (if using frozen),30 minutes,1 hour,1,,,12,No,No,10-inch ovenproof skillet,1,No,2,0,0,No,No,No,No,,
Breads and Savory Baking,Miso Buttermilk Biscuits,271,All,40 minutes,1 hour 10 minutes,1,,,16 biscuits,No,No,None,3 1/4,No,0,0,0,No,No,No,No,,
Breads and Savory Baking,Tomato Tart with Spices and Herby Feta,273,Summer,40 minutes,2 hours,2,,,8,No,No,Food processor,0,No,0,0,0,No,No,No,Flaky All-Butter Pie Dough (page 333),,
Breads and Savory Baking,Gougeres,277,All,30 minutes,1 hour,2,,,70 puffs,No,No,"Stand mixer, pastry bag",0,No,1,0,0,No,No,No,Pate a Choux (page 346),,
Breads and Savory Baking,Carmelized Endive Galette,278,Fall,1 hour 20 minutes,2 hours 50 minutes,2,,,"6 as a snack, 4 as a main course",No,No,None,0,No,1,0,0,No,No,No,Flaky All-Butter Pie Dough (page 333),,
Breads and Savory Baking,Crispy Mushroom Galette,280,All,1 hour,2 hours,2,,Vegan,"6 as a snack, 4 as a main course",No,No,None,0,No,0,0,0,No,No,No,Flaky Olive Oil Dough (page 341),,
Breads and Savory Baking,Creamy Greens Pie with Baked Eggs,282,All,1 hour 15 minutes,2 hours 15 minutes,3,,,6,No,No,"10-inch ovenproof skillet, pie weights",0,No,7,0,0,No,No,No,Flaky All-Butter Pie Dough (page 333),,
Breads and Savory Baking,Clam and Fennel Pizza with Gremolata,285,All,1 hour 15 minutes,1 hour 45 minutes,3,,,4,No,No,None,0,No,0,0,0,No,No,Yes,Soft and Pillowy Flatbread dough (page 349),,
Breads and Savory Baking,Soft and Crispy Focaccia,289,All,2 hours,3 hours 45 minutes plus optional 24 hours for chilling,3,,,1 half sheet pan,Yes,Yes,"Instant-read thermometer, stand mixer, standard half sheet pan",0,Yes,0,0,0,No,Yes,Yes,No,,
Breads and Savory Baking,Honey Tahini Challah,295,All,45 minutes,5 hours 15 minutes,3,,,2 challahs,Yes,No,None,0,Yes,3,3,0,No,No,Yes,No,,
Breads and Savory Baking,Feta-Za'atar Flatbread with Charred Eggplant Dip,299,All (flatbreads) / Summer (eggplant),1 hour 30 minutes,2 hours,3,,,8 8-inch flatbreads,No,No,"Food processor, griddle or large skillet",0,No,0,0,0,No,No,Yes,Soft and Pillowy Flatbread dough (page 349),,
Breads and Savory Baking,Pigs in a Brioche Blanket,303,All,30 minutes,1 hour 30 minutes,3,,,48 bite sized pieces,No,No,Stand mixer,0,No,1,0,0,No,No,Yes,Brioche Dough (page 352),,
Breads and Savory Baking,Ricotta and Broccoli Rabe Pie,305,All,1 hour 10 minutes,2 hours 15 minutes,3,,,10,No,No,9-inch springform pan,0,No,4,0,0,No,No,No,Flaky Olive Oil Dough (page 341),,
Breads and Savory Baking,All Allium Deep-Dish Quiche,309,All,1 hour 15 minutes,3 hours 20 minutes,4,,,8,No,No,"9-inch springform pan, pie weights, blender",0,No,4,0,0,No,No,No,Flaky All-Butter Pie Dough (page 333),,
Breads and Savory Baking,Pull-Apart Sour Cream and Chive Rolls,313,All,1 hour,4 hours,4,,,24 rolls,No,No,"Stand mixer, instant-read thermometer, 13x9-inch pan",0,Yes,3,0,0,No,No,Yes,No,,
Foundation Recipes,All-Purpose Crumble,319,All,10 minutes,10 minutes,1,,,3 cups,Yes,Yes,None,1,No,0,0,0,No,Yes,No,No,,
Foundation Recipes,Honey Almond Syrup,320,All,5 minutes,5 minutes,1,,,1 cup,Yes,Yes,None,0,No,0,0,0,Yes,Yes,No,No,,
Foundation Recipes,Pastry Cream,321,All,30 minutes,30 minutes plus 4 hours for chilling,2,,,2 1/2 cups,Yes,Yes,None,0,No,0,5,0,No,No,No,No,,
Foundation Recipes,Classic Cream Cheese Frosting,324,All,10 minutes,10 minutes,2,,,4 1/2 cups,Yes,Yes,Stand mixer,0,No,0,0,0,No,No,No,No,,
Foundation Recipes,Graham Cracker Crust,326,All,15 minutes,30 minutes,2,,,1 crust,No,No,"Food Processor, 9-inch pie plate",0,No,0,1,0,No,Yes,No,No,,
Foundation Recipes,Frangipane,329,All,10 minutes,30 minutes,2,,,1 1/2 cups,Yes,Yes,Food Processor,0,No,1,1,0,Yes,Yes,No,No,,
Foundation Recipes,Lemon Curd,330,All,35 minutes,35 minutes plus 3 hours for chilling,2,,,2 1/2 cups,Yes,No,None,0,No,1,4,0,No,No,No,No,,
Foundation Recipes,Flaky All-Butter Pie Dough,333,All,25 minutes for dough plus 35 minutes for par-baking,3 hours for dough plus 1 hour 30 minutes for par-baking,2,,,one crust,Yes,Yes,Pie Weights,1 1/2,No,0,0,0,No,Yes,No,No,,
Foundation Recipes,Sweet Tart Dough,338,All,45 minutes,2 hours,2,,,one crust,Yes,Yes,"Food Processor, 9 or 10 inch tart pan",1,Yes,0,1,0,Yes,Yes,No,No,,
Foundation Recipes,Flaky Olive Oil Dough,341,All,30 minutes,2 hours,2,,Vegan,one crust,No,No,None,1 3/4,No,0,0,0,No,Yes,No,No,,
Foundation Recipes,Sweet Yeast Dough,344,All,20 minutes,1 hour 30 minutes plus 4 hours for chilling,2,,,12 large buns or 2 babkas,Yes,Yes,Stand mixer,4 1/2,No,3,0,0,No,No,Yes,No,,
Foundation Recipes,Pate a Choux,346,All,20 minutes for dough plus 30 minutes for baking,20 minutes for dough plus 1 hour for baking,2,,,60 to 70 puffs,Yes,Yes,"Stand mixer, pastry bag",1,No,6,0,0,No,No,No,No,,
Foundation Recipes,Soft and Pillowy Flatbread,349,All,1 hour 20 minutes,3 hours 20 minutes,3,,Vegan,8 flatbreads,No,No,"Instant-read thermometer, griddle or large skillet",3 1/4,No,0,0,0,No,Yes,Yes,No,,
Foundation Recipes,Brioche Dough,352,All,45 minutes for dough plus 15 minutes to bake,2 hours plus 8 hours for chilling for the dough plus 2 hours for baking,3,,,2 loaves,Yes,Yes,"Instant-read thermometer, stand mixer, two 8 1/2 x 4 1/2 inch loaf pans",4,No,7,0,0,No,No,Yes,No,,
Foundation Recipes,Rough Puff Pastry,355,All,40 minutes,3 hours plus 40 minutes,3,,,2 crusts,Yes,Yes,None,3 1/2,No,0,0,0,No,Yes,No,No,,
Foundation Recipes,Silkiest Chocolate Buttercream,359,All,35 minutes,35 minutes,4,,,4 cups,Yes,Yes,"instant-read thermometer, stand mixer",0,No,2,2,0,No,No,No,No,,
